#{"t_start": 1622266080.1676416, "env_id": "BZ-Tetris2-v0"}
r,l,t
570.0,228,11.85227
394.0,211,21.854635
516.0,236,32.364138
430.0,225,47.867823
394.0,202,56.715553
70.0,160,63.92642
268.0,196,81.308648
340.0,201,97.149345
484.0,246,107.874263
863.0,264,119.444063
394.0,186,132.901364
968.0,176,140.317251
218.0,182,161.127439
232.0,174,169.067642
1045.0,302,189.449404
64.0,146,195.957174
1132.0,330,210.330422
737.0,240,237.20719
692.0,234,248.513013
592.0,243,259.739945
222.0,178,268.116983
656.0,265,286.180948
348.0,190,294.924832
660.0,290,315.586204
452.0,250,333.894214
863.0,260,345.726413
502.0,190,354.804746
692.0,305,377.159048
1077.0,332,401.132181
1104.0,322,423.293784
570.0,209,434.885032
506.0,258,450.287772
949.0,290,476.65947
232.0,175,484.527362
394.0,183,492.452074
941.0,282,504.913439
678.0,258,523.730839
218.0,182,532.892538
720.0,244,563.801174
466.0,210,580.582132
584.0,246,592.112115
620.0,265,604.079224
452.0,215,614.97835
950.0,318,664.203051
164.0,235,680.713248
154.0,205,693.898978
534.0,245,710.902435
910.0,276,723.686029
394.0,211,732.806049
534.0,225,761.012801
570.0,244,776.859559
340.0,174,787.442771
624.0,270,811.786033
828.0,260,823.772584
272.0,150,830.580421
588.0,252,849.369516
286.0,176,867.358663
827.0,250,882.715855
692.0,320,901.904608
452.0,172,922.827797
164.0,145,936.780496
430.0,249,948.524351
150.0,186,956.693058
886.0,278,979.765002
268.0,205,993.719846
412.0,232,1008.969025
192.0,178,1056.683281
276.0,191,1068.542868
1068.0,322,1083.908484
624.0,205,1098.583165
502.0,202,1107.625179
354.0,239,1119.913543
552.0,232,1144.088634
6.0,115,1160.361534
358.0,205,1173.586025
556.0,230,1184.817604
578.0,247,1195.512588
326.0,185,1209.094625
70.0,108,1213.793415
901.0,304,1235.355255
164.0,153,1242.945014
881.0,290,1275.383768
466.0,193,1286.98838
674.0,265,1300.161945
-2.0,140,1318.546124
20.0,130,1324.716906
290.0,180,1332.975442
530.0,226,1343.955872
416.0,220,1382.515873
132.0,168,1392.366845
890.0,286,1409.199223
358.0,184,1430.07205
