#{"t_start": 1622266079.8498003, "env_id": "BZ-Tetris2-v0"}
r,l,t
124.0,180,9.603824
878.0,295,23.768304
268.0,182,31.862993
492.0,230,47.642004
426.0,248,58.588238
692.0,250,78.495536
834.0,310,98.924038
896.0,308,112.377072
-2.0,115,117.578072
556.0,226,132.723795
997.0,314,159.119042
1096.0,328,173.881616
128.0,135,186.807239
1027.0,290,199.355487
534.0,224,209.178151
1013.0,276,237.822313
114.0,158,245.617321
196.0,190,254.400411
348.0,189,263.074869
624.0,234,279.872949
696.0,250,291.544955
682.0,210,308.574883
800.0,300,329.01906
430.0,220,339.140341
610.0,260,350.9402
218.0,136,357.700149
534.0,217,375.795621
598.0,220,394.71947
394.0,216,404.676387
765.0,265,424.405648
610.0,215,436.054934
354.0,220,449.318263
520.0,218,460.423465
1110.0,302,486.356428
322.0,230,496.237747
322.0,180,504.243874
150.0,176,519.513431
534.0,240,531.137651
380.0,218,559.436638
160.0,170,569.15144
806.0,246,587.345477
696.0,282,600.087719
218.0,186,608.787443
960.0,290,644.628227
534.0,231,669.496351
756.0,308,691.670205
524.0,270,710.078567
1159.0,324,724.965461
620.0,238,735.32532
182.0,180,761.587155
1399.0,330,783.243501
696.0,247,795.527049
380.0,210,816.902276
1522.0,374,841.37622
1077.0,294,863.875137
520.0,206,876.008486
796.0,245,891.343353
832.0,286,919.863347
1255.0,348,943.488194
832.0,290,956.392515
770.0,258,977.612565
272.0,158,988.96268
728.0,274,1007.08084
276.0,165,1053.376575
1120.0,400,1076.593788
344.0,195,1085.629227
578.0,218,1100.792565
20.0,164,1108.164939
905.0,312,1135.954697
196.0,170,1145.181462
340.0,185,1166.346609
642.0,234,1179.954867
250.0,230,1190.229404
498.0,242,1206.28111
683.0,272,1225.60965
498.0,224,1236.087785
574.0,238,1264.201772
186.0,176,1274.751921
458.0,222,1287.953074
358.0,210,1298.434003
792.0,255,1322.043224
430.0,194,1331.126533
322.0,230,1341.749917
937.0,282,1384.003224
268.0,146,1392.454409
294.0,178,1404.55977
750.0,240,1427.819612
878.0,262,1445.665555
756.0,265,1457.486271
574.0,229,1470.353795
664.0,238,1501.604909
114.0,170,1526.37184
520.0,234,1540.884972
308.0,190,1549.854201
691.0,270,1567.726932
340.0,164,1575.391584
196.0,165,1583.094275
728.0,256,1620.479322
326.0,183,1631.925933
362.0,180,1640.610053
592.0,300,1654.161368
502.0,199,1669.108914
344.0,208,1678.054147
92.0,180,1686.220686
624.0,234,1706.049563
592.0,201,1738.196827
696.0,242,1754.335496
696.0,220,1768.651202
764.0,254,1787.879602
678.0,242,1809.193372
430.0,209,1822.501346
132.0,160,1833.536484
254.0,164,1862.864263
578.0,252,1877.462109
520.0,240,1891.992856
859.0,280,1918.321044
664.0,210,1927.904493
986.0,295,1940.510657
326.0,189,1956.413373
560.0,275,1973.855532
64.0,143,1981.49244
340.0,180,2005.180893
620.0,248,2030.461759
1196.0,350,2046.38927
728.0,292,2059.613653
806.0,298,2096.045982
394.0,212,2109.663046
841.0,262,2128.241633
196.0,160,2156.018567
602.0,209,2166.123159
736.0,238,2177.343651
710.0,292,2203.502205
200.0,158,2210.785866
466.0,218,2221.020197
570.0,220,2236.397508
502.0,240,2269.602901
986.0,284,2284.999485
466.0,177,2302.40626
588.0,242,2318.944364
498.0,202,2328.271497
574.0,228,2340.848647
92.0,175,2352.801782
895.0,270,2382.245416
146.0,176,2401.587144
556.0,235,2412.469859
570.0,212,2427.515559
326.0,163,2434.455496
764.0,258,2446.045452
316.0,208,2457.069139
538.0,208,2496.46199
430.0,235,2513.43464
412.0,258,2526.464926
1013.0,312,2546.458243
610.0,258,2558.103654
100.0,152,2581.687342
1018.0,325,2623.349035
1091.0,342,2644.319107
240.0,176,2655.364609
362.0,195,2672.048859
254.0,187,2688.568235
344.0,228,2697.995977
326.0,185,2706.077557
192.0,175,2721.035737
498.0,245,2736.685807
737.0,318,2755.07421
1126.0,300,2787.34411
716.0,272,2799.715198
340.0,183,2807.968744
755.0,268,2827.845618
186.0,138,2835.939851
570.0,230,2860.836967
380.0,214,2873.611353
286.0,195,2891.542884
624.0,216,2901.936418
394.0,195,2911.056117
1090.0,315,2930.514714
652.0,274,2957.296154
733.0,238,2973.863162
416.0,190,3006.040054
824.0,280,3023.721043
340.0,205,3034.428204
502.0,286,3061.359094
430.0,220,3071.390828
394.0,186,3081.595265
196.0,148,3090.79813
819.0,302,3126.555769
941.0,295,3144.40921
919.0,308,3168.156559
492.0,250,3184.3659
520.0,200,3193.52652
827.0,324,3208.282285
592.0,250,3234.550547
1159.0,346,3264.524516
232.0,174,3278.689916
906.0,295,3292.531439
462.0,192,3301.476164
426.0,230,3316.610004
678.0,254,3367.856613
660.0,258,3385.792657
344.0,192,3398.242187
110.0,146,3412.183132
534.0,266,3424.604201
556.0,252,3442.197433
905.0,288,3463.158491
534.0,210,3476.331812
268.0,177,3486.790041
434.0,250,3502.792422
164.0,152,3526.1951
986.0,350,3551.905468
462.0,226,3562.112297
326.0,219,3579.736961
528.0,220,3593.498001
426.0,230,3608.089714
200.0,162,3618.491932
186.0,153,3652.577058
914.0,322,3667.789948
1004.0,262,3680.250893
340.0,177,3693.382538
340.0,199,3702.321254
534.0,274,3729.122031
430.0,260,3758.182457
660.0,215,3774.188756
1317.0,356,3794.798505
380.0,225,3810.790993
822.0,262,3832.35609
724.0,240,3844.038439
1196.0,372,3882.716937
484.0,194,3895.56079
552.0,276,3909.217971
366.0,196,3931.209713
520.0,226,3941.19777
1446.0,374,3959.073013
791.0,258,3988.087601
488.0,190,4000.468859
462.0,204,4021.916669
864.0,258,4039.471222
955.0,285,4052.35164
340.0,178,4060.461849
538.0,248,4092.839921
128.0,136,4100.958285
832.0,292,4131.696877
232.0,210,4145.924335
1004.0,264,4169.765836
462.0,278,4182.138194
1068.0,300,4194.903397
286.0,176,4217.784804
692.0,286,4234.999235
574.0,290,4252.327557
959.0,278,4278.874095
164.0,172,4286.587204
304.0,183,4303.897949
924.0,312,4325.917562
82.0,165,4335.282991
358.0,235,4350.780706
592.0,234,4363.119535
394.0,210,4388.249403
718.0,280,4408.62214
498.0,257,4419.824506
348.0,215,4437.329949
538.0,275,4455.408676
466.0,194,4468.627994
416.0,190,4512.161247
484.0,230,4524.812212
704.0,244,4536.366253
426.0,244,4553.214292
650.0,252,4565.590868
362.0,211,4576.971367
412.0,190,4602.340117
696.0,295,4637.304351
484.0,234,4648.102201
552.0,212,4657.964404
164.0,163,4670.771131
610.0,248,4691.168354
733.0,302,4706.783473
610.0,300,4734.687836
272.0,162,4744.046354
1009.0,350,4759.959656
462.0,210,4782.005747
462.0,228,4793.10658
630.0,276,4812.022839
394.0,203,4844.463241
506.0,245,4860.822354
430.0,204,4873.314522
787.0,258,4894.408697
448.0,236,4910.824548
358.0,195,4919.287633
624.0,240,4930.622597
466.0,225,4961.956535
290.0,190,4986.308139
254.0,190,4997.087782
732.0,245,5008.176395
502.0,208,5023.418717
300.0,185,5031.863017
268.0,168,5039.534169
96.0,174,5047.509993
534.0,243,5086.971413
340.0,191,5099.043379
660.0,254,5113.784995
488.0,236,5133.383072
200.0,177,5141.363848
430.0,190,5149.833165
1023.0,352,5197.510367
588.0,236,5214.44787
664.0,272,5232.094143
752.0,218,5247.069793
696.0,302,5282.866863
556.0,216,5292.785342
300.0,188,5302.103579
128.0,130,5327.506826
920.0,296,5347.166353
218.0,184,5358.964325
330.0,184,5369.734794
384.0,210,5404.826238
502.0,198,5413.790749
452.0,178,5421.756728
574.0,235,5431.944311
530.0,250,5448.606425
972.0,274,5477.191269
520.0,232,5490.838279
322.0,212,5521.240845
601.0,255,5532.556015
430.0,220,5542.22684
768.0,270,5560.229861
840.0,236,5589.148942
484.0,232,5603.793684
878.0,280,5637.286092
276.0,185,5649.165852
520.0,204,5658.699603
696.0,246,5683.373665
430.0,219,5693.111708
498.0,220,5703.400635
394.0,233,5715.869302
276.0,205,5744.419228
876.0,275,5762.517471
272.0,147,5779.312005
656.0,216,5788.998049
272.0,162,5801.897604
524.0,234,5812.634537
1032.0,342,5828.13119
756.0,290,5872.400897
534.0,244,5886.46283
719.0,308,5906.387536
556.0,208,5915.585908
551.0,256,5926.420883
484.0,256,5937.839877
1004.0,272,5972.529555
664.0,226,5988.34186
430.0,225,6001.8404
556.0,226,6035.345482
304.0,157,6043.365644
1054.0,314,6068.464094
64.0,140,6081.998873
624.0,235,6097.03994
300.0,137,6106.00136
160.0,152,6115.709337
466.0,210,6129.473707
268.0,152,6152.734872
168.0,215,6170.13906
985.0,290,6182.986178
696.0,258,6199.350209
628.0,232,6210.017411
426.0,248,6222.421971
304.0,199,6263.851565
660.0,276,6280.000293
542.0,186,6288.386467
675.0,280,6306.350786
1700.0,400,6325.650527
534.0,232,6354.067423
494.0,236,6387.380419
588.0,312,6407.767951
70.0,128,6414.537182
358.0,196,6423.997217
624.0,220,6442.938125
354.0,200,6459.372377
542.0,260,6471.407661
42.0,125,6494.685712
272.0,184,6505.563111
551.0,266,6521.804435
236.0,142,6531.001476
548.0,220,6559.19963
462.0,230,6569.298802
264.0,175,6577.183799
587.0,246,6588.73652
340.0,171,6613.336801
150.0,148,6623.243411
832.0,296,6650.994511
728.0,262,6670.600841
340.0,186,6678.910735
380.0,202,6688.091445
796.0,248,6699.447991
200.0,163,6714.41351
921.0,270,6748.928815
466.0,226,6763.367255
190.0,180,6775.535357
394.0,204,6808.961285
610.0,230,6821.09759
696.0,255,6832.69847
394.0,195,6853.352715
488.0,220,6864.808757
746.0,280,6880.435123
502.0,288,6917.292128
394.0,207,6930.55862
218.0,174,6948.111232
800.0,234,6958.798545
656.0,261,6975.60316
160.0,140,6981.859352
340.0,160,6989.263541
236.0,168,6996.959116
268.0,196,7024.696762
764.0,274,7051.855008
646.0,254,7065.279643
574.0,270,7084.172835
128.0,117,7089.373164
340.0,170,7097.143009
995.0,274,7111.597727
552.0,246,7160.852266
837.0,286,7180.736567
874.0,304,7215.125942
692.0,235,7225.736745
160.0,155,7232.642445
136.0,160,7246.903642
340.0,180,7255.490121
560.0,232,7274.799554
814.0,280,7291.296699
150.0,140,7299.072748
426.0,208,7331.39327
268.0,201,7349.613143
728.0,244,7360.730483
728.0,236,7371.26356
570.0,282,7392.776338
733.0,230,7406.705212
380.0,194,7419.389944
570.0,222,7456.480247
502.0,210,7466.209382
886.0,272,7478.852161
240.0,166,7492.099884
272.0,194,7501.063222
452.0,194,7510.748506
14.0,174,7534.517224
236.0,164,7545.677154
718.0,275,7584.610249
534.0,217,7598.501448
390.0,220,7611.433339
304.0,180,7626.770964
1087.0,312,7648.941955
394.0,212,7660.083052
344.0,195,7687.307478
638.0,230,7702.354688
394.0,234,7716.958152
394.0,196,7728.391487
705.0,294,7755.26373
855.0,312,7768.984993
660.0,234,7793.999053
637.0,256,7808.826112
384.0,205,7822.107826
800.0,268,7848.414623
610.0,260,7872.031122
200.0,168,7879.91796
1228.0,338,7896.58233
751.0,262,7939.050546
700.0,232,7966.760592
254.0,184,7980.619154
268.0,184,8010.756024
1169.0,342,8027.227544
340.0,214,8037.230553
398.0,169,8059.317961
268.0,162,8066.969924
655.0,268,8083.57847
538.0,220,8098.355849
240.0,156,8128.26165
232.0,182,8139.877841
932.0,292,8162.487412
697.0,262,8181.505423
624.0,250,8195.026767
624.0,258,8211.478419
344.0,190,8223.394151
1511.0,360,8271.130059
232.0,177,8279.544632
678.0,243,8290.890025
624.0,220,8306.095615
340.0,174,8314.302675
52.0,132,8321.690977
394.0,244,8340.659189
738.0,304,8399.913952
268.0,162,8409.761914
534.0,224,8424.013424
412.0,256,8449.436625
318.0,225,8460.018792
308.0,185,8475.276494
394.0,218,8500.438642
366.0,184,8512.899384
1463.0,284,8530.320228
696.0,258,8546.328267
656.0,290,8579.110013
322.0,190,8587.096406
1141.0,320,8609.376446
642.0,210,8623.04601
352.0,212,8637.14502
1391.0,352,8695.513515
430.0,200,8705.510159
304.0,206,8715.806798
218.0,178,8724.068591
200.0,170,8739.340921
232.0,154,8749.500362
638.0,225,8765.498805
682.0,240,8795.849851
456.0,240,8829.752304
1029.0,335,8849.194161
756.0,228,8859.594932
286.0,207,8874.842964
268.0,165,8888.401083
416.0,200,8897.734591
312.0,172,8905.776845
1023.0,286,8941.201152
344.0,200,8955.19576
340.0,167,8966.013937
128.0,153,8976.345304
588.0,235,9002.67041
1091.0,304,9018.292254
556.0,192,9031.215579
868.0,270,9065.670041
800.0,305,9088.871776
805.0,262,9119.927947
764.0,320,9146.964985
344.0,206,9157.785962
444.0,222,9167.99347
678.0,250,9192.878288
556.0,254,9224.216413
950.0,290,9243.223249
823.0,226,9274.822656
366.0,210,9287.010179
92.0,164,9294.594664
438.0,238,9320.533792
340.0,175,9331.106704
232.0,172,9343.408493
660.0,248,9359.159789
430.0,218,9392.804606
160.0,168,9404.247088
172.0,180,9415.953309
896.0,294,9435.767979
974.0,252,9452.479523
340.0,172,9460.425554
542.0,201,9470.911751
394.0,222,9506.671908
466.0,230,9523.07338
768.0,226,9553.227749
196.0,155,9564.490741
632.0,264,9587.571813
322.0,174,9596.178709
728.0,270,9608.887141
534.0,219,9649.346307
128.0,142,9659.670506
398.0,195,9672.115424
462.0,230,9685.923872
905.0,304,9720.313013
154.0,184,9729.018476
914.0,284,9749.170305
268.0,162,9756.168027
574.0,192,9771.852074
578.0,254,9788.713278
592.0,250,9805.042414
286.0,198,9832.638613
1333.0,308,9858.234741
570.0,243,9869.232481
200.0,170,9884.08967
750.0,248,9901.904257
322.0,185,9913.011037
448.0,218,9928.607813
534.0,202,9974.575383
394.0,195,9990.213461
340.0,166,10001.93451
741.0,244,10013.761748
696.0,235,10030.755201
887.0,268,10042.323813
556.0,264,10061.359794
236.0,190,10079.926407
362.0,187,10091.979501
330.0,222,10104.840565
430.0,197,10134.938811
24.0,140,10142.140069
268.0,160,10156.431156
294.0,210,10165.864632
705.0,220,10175.735738
304.0,163,10192.470042
574.0,272,10210.454133
462.0,190,10221.53891
