#{"t_start": 1622266080.3318162, "env_id": "BZ-Tetris2-v0"}
r,l,t
520.0,216,10.559415
570.0,244,22.647235
462.0,210,31.969747
92.0,133,43.333075
502.0,244,53.981164
268.0,162,61.330613
502.0,198,78.961397
232.0,172,93.38973
150.0,145,99.702549
534.0,215,109.150278
874.0,280,121.366573
1469.0,250,137.561742
570.0,250,161.207874
300.0,202,170.48759
696.0,270,189.383552
304.0,170,196.913317
606.0,272,208.608647
362.0,159,215.921
804.0,232,242.735615
498.0,208,252.606005
362.0,173,260.558728
422.0,230,277.288023
416.0,192,286.122446
832.0,244,297.426215
200.0,184,313.229987
394.0,215,329.807536
592.0,212,339.547645
587.0,250,350.923372
1305.0,354,375.827017
1022.0,298,398.247019
570.0,238,409.462916
806.0,276,431.046108
300.0,158,439.121067
264.0,176,450.170778
838.0,305,477.30484
1064.0,342,492.271829
594.0,246,503.042567
800.0,276,522.728159
620.0,265,536.601838
218.0,159,562.441105
304.0,148,569.98947
728.0,270,589.246913
570.0,210,598.707507
304.0,185,607.356898
190.0,185,635.049125
340.0,212,649.56123
466.0,183,671.970535
678.0,298,692.620751
579.0,245,709.744222
552.0,234,720.654359
923.0,315,734.380788
192.0,144,758.754969
610.0,250,774.280135
380.0,212,787.370246
574.0,260,811.241193
656.0,258,823.060671
218.0,168,837.917046
538.0,228,848.441209
728.0,248,870.914929
366.0,206,883.396224
376.0,240,897.026018
779.0,270,924.029623
236.0,200,940.637142
250.0,185,949.226161
840.0,300,970.10899
498.0,230,985.849777
452.0,200,999.649962
1196.0,312,1055.412627
276.0,176,1067.047569
624.0,240,1078.476259
236.0,166,1086.193323
726.0,302,1105.038791
624.0,260,1117.846594
304.0,177,1138.995079
434.0,216,1161.205422
592.0,236,1176.554358
394.0,200,1185.414279
792.0,244,1195.938514
390.0,185,1209.472027
986.0,330,1231.838195
196.0,168,1239.738845
592.0,240,1269.329667
570.0,237,1282.881045
64.0,165,1292.471875
380.0,214,1302.387833
344.0,206,1324.049541
498.0,218,1334.149199
190.0,198,1343.782844
408.0,256,1384.354464
624.0,214,1398.197656
92.0,140,1406.266711
340.0,190,1427.188292
268.0,196,1442.057478
394.0,167,1449.211485
70.0,138,1455.65279
624.0,282,1471.329631
516.0,264,1504.360137
232.0,155,1528.371493
380.0,210,1540.998203
498.0,201,1550.389607
1859.0,305,1569.905534
714.0,288,1583.287832
678.0,230,1594.462469
56.0,159,1629.708602
416.0,190,1638.467368
70.0,150,1645.644081
304.0,144,1652.341887
272.0,127,1658.240132
570.0,238,1674.483532
879.0,304,1695.675122
842.0,278,1730.324855
494.0,232,1746.70264
204.0,220,1760.717118
430.0,160,1770.33076
810.0,268,1790.149211
304.0,162,1807.759875
490.0,244,1822.882613
