#{"t_start": 1622266080.3677983, "env_id": "BZ-Tetris2-v0"}
r,l,t
570.0,210,10.263237
1105.0,302,24.816368
660.0,217,34.591559
951.0,356,55.671769
462.0,235,75.139052
660.0,265,93.623518
362.0,171,101.186579
732.0,255,112.215812
462.0,264,123.826796
362.0,205,137.998243
218.0,156,157.635911
300.0,165,164.956494
164.0,153,171.936641
592.0,226,188.818545
1223.0,278,201.055778
344.0,176,208.615745
624.0,264,236.662979
402.0,210,246.896083
996.0,314,261.277968
923.0,255,279.115501
448.0,236,290.100886
164.0,140,296.545243
362.0,147,310.668957
304.0,189,326.163794
624.0,265,338.294764
682.0,248,349.517474
416.0,210,359.701429
250.0,194,376.7739
430.0,218,395.493035
394.0,229,405.993443
322.0,202,422.561187
1006.0,325,440.404001
322.0,205,452.977005
498.0,194,462.132226
358.0,212,484.10518
692.0,280,496.169827
986.0,262,508.011395
772.0,270,527.692362
741.0,232,540.51433
714.0,224,569.31773
304.0,193,585.000113
520.0,224,595.30313
588.0,186,603.663849
196.0,146,610.755581
488.0,210,642.114127
588.0,246,667.787606
592.0,254,687.062147
70.0,148,700.798152
416.0,225,711.003093
232.0,178,719.453562
326.0,172,727.115746
1532.0,384,762.353649
394.0,248,778.853035
340.0,188,789.776376
659.0,255,813.023778
264.0,192,821.857249
362.0,201,838.215206
466.0,224,848.56805
452.0,202,867.852132
300.0,201,879.980074
132.0,160,890.380311
914.0,264,917.857218
942.0,318,939.724541
498.0,231,950.508868
146.0,155,957.422076
268.0,168,973.233073
926.0,308,994.412334
398.0,226,1009.229933
779.0,285,1064.840405
660.0,284,1078.343765
394.0,210,1088.009367
520.0,222,1103.317894
864.0,272,1116.187725
272.0,220,1139.994889
340.0,165,1158.989932
204.0,198,1171.654294
869.0,290,1186.178319
854.0,278,1203.810494
466.0,230,1213.665515
70.0,120,1226.655017
128.0,146,1233.455585
20.0,120,1238.928013
178.0,215,1266.880221
236.0,154,1275.671273
150.0,139,1283.654774
56.0,140,1292.042483
728.0,275,1316.846931
1182.0,330,1332.139178
200.0,205,1341.651378
1159.0,314,1385.450424
304.0,177,1397.082878
330.0,236,1421.862317
624.0,235,1433.053345
800.0,278,1451.161665
200.0,151,1458.204679
592.0,254,1472.54475
828.0,302,1507.465549
556.0,250,1538.472784
316.0,236,1549.679792
362.0,170,1563.052339
