#{"t_start": 1622266079.837215, "env_id": "BZ-Tetris2-v0"}
r,l,t
542.0,200,10.359037
466.0,211,20.939946
376.0,192,29.485238
914.0,262,46.636939
498.0,248,57.567171
646.0,208,75.717774
196.0,168,82.90157
114.0,115,95.005859
362.0,226,104.954155
448.0,246,115.7921
714.0,264,132.56752
576.0,234,155.373238
232.0,166,162.679507
561.0,256,174.41118
268.0,190,189.654525
28.0,132,195.547618
746.0,250,206.315845
570.0,224,216.4167
232.0,148,239.287193
660.0,244,250.877647
996.0,366,267.995448
660.0,255,285.547511
512.0,222,295.792255
236.0,148,310.03097
1704.0,318,331.346478
588.0,258,343.159596
805.0,310,357.917562
986.0,302,379.883746
340.0,177,396.714307
330.0,186,405.311899
914.0,290,426.8728
808.0,282,441.948473
728.0,248,456.818245
736.0,300,482.701702
764.0,253,493.644194
150.0,167,500.899802
524.0,246,519.285084
136.0,152,526.173732
764.0,240,539.459684
615.0,245,569.383151
751.0,238,587.184751
1096.0,294,600.463052
851.0,302,615.512082
276.0,186,645.607409
466.0,226,670.733532
196.0,165,682.988111
164.0,141,692.336182
1078.0,308,712.399415
764.0,302,726.319231
888.0,298,756.874415
358.0,182,767.384623
588.0,256,784.401535
570.0,230,795.550501
1006.0,284,820.189741
304.0,184,828.840504
358.0,229,846.473554
92.0,124,860.045039
186.0,146,869.071003
430.0,206,881.517073
1396.0,275,897.600707
366.0,206,921.622676
466.0,212,938.623602
808.0,254,950.502354
268.0,170,958.098335
164.0,153,973.149692
448.0,224,988.8104
394.0,177,1001.037482
168.0,170,1011.359485
556.0,232,1063.30032
502.0,207,1073.909352
800.0,286,1087.310297
84.0,180,1100.71312
232.0,178,1108.757777
128.0,155,1116.176738
426.0,215,1139.638907
832.0,284,1166.253721
128.0,125,1174.284423
304.0,168,1182.5616
264.0,164,1189.9154
124.0,146,1196.130997
1350.0,365,1225.111173
218.0,170,1232.958465
1127.0,332,1266.035848
196.0,165,1275.627993
304.0,161,1284.946137
236.0,180,1295.043187
660.0,268,1319.303761
484.0,236,1330.306771
624.0,235,1341.137452
172.0,177,1353.117459
864.0,250,1391.517645
818.0,245,1407.021475
340.0,168,1426.928854
236.0,187,1441.45438
1254.0,330,1456.126343
728.0,332,1474.259575
923.0,316,1510.265386
574.0,250,1540.805561
588.0,260,1553.09546
534.0,233,1569.230736
376.0,240,1580.330917
869.0,308,1595.144168
490.0,230,1633.765205
510.0,248,1645.438435
878.0,288,1658.739068
444.0,220,1674.219981
1541.0,390,1699.266741
596.0,254,1733.805269
326.0,190,1747.383549
570.0,224,1761.605494
466.0,199,1773.030594
394.0,206,1789.874398
842.0,258,1812.008599
1604.0,266,1830.099254
633.0,255,1865.43629
964.0,290,1882.596384
624.0,216,1895.911793
705.0,240,1919.261836
466.0,188,1927.828933
660.0,234,1937.880148
805.0,294,1958.70572
340.0,188,1971.363275
150.0,165,1980.330832
868.0,298,2010.618563
164.0,130,2029.314536
530.0,258,2041.099637
466.0,240,2052.183985
340.0,158,2059.228864
610.0,240,2081.994301
290.0,155,2100.666511
268.0,187,2114.284879
506.0,232,2149.589833
466.0,220,2160.663139
358.0,184,2169.373537
322.0,186,2178.076867
996.0,285,2203.905993
1035.0,285,2217.068313
