#{"t_start": 1622266079.91427, "env_id": "BZ-Tetris2-v0"}
r,l,t
200.0,141,8.113264
700.0,200,17.862134
588.0,250,28.870842
728.0,254,45.63674
840.0,246,56.429456
-74.0,112,61.476058
919.0,282,82.649312
534.0,225,99.479742
448.0,217,109.051736
506.0,236,119.426858
240.0,205,133.733308
724.0,226,156.195504
556.0,230,166.475645
290.0,160,173.716165
330.0,229,190.831893
570.0,206,199.643049
308.0,180,207.572126
466.0,194,216.394877
394.0,219,242.526453
534.0,255,254.712217
290.0,181,263.033127
416.0,182,277.475835
416.0,189,286.122738
570.0,210,295.804409
272.0,159,310.547638
156.0,150,317.364998
651.0,260,336.133778
322.0,188,344.616733
628.0,236,355.873811
706.0,264,376.242141
160.0,162,392.42726
164.0,172,400.395599
164.0,156,407.574648
452.0,240,426.818029
842.0,338,445.642167
182.0,172,455.733862
978.0,288,481.162119
358.0,156,488.150223
570.0,230,497.924864
588.0,240,508.781038
588.0,272,528.626222
416.0,195,539.607394
660.0,226,568.50932
386.0,211,585.069924
394.0,212,594.894646
186.0,162,602.134211
366.0,224,613.029096
200.0,158,641.241765
588.0,226,665.703241
340.0,169,678.19832
1054.0,320,703.594133
851.0,300,717.456437
264.0,178,725.408096
660.0,248,753.499006
204.0,180,762.520306
236.0,132,771.466788
584.0,238,786.577341
696.0,268,810.877541
596.0,244,822.048363
502.0,207,838.706614
566.0,201,848.03589
114.0,168,865.323656
588.0,262,880.798798
796.0,250,895.453599
200.0,157,917.796596
660.0,234,935.868655
218.0,202,945.643818
1196.0,318,966.801054
514.0,260,982.906881
1178.0,272,1001.873278
815.0,320,1058.192523
236.0,187,1069.372602
1055.0,288,1083.119344
551.0,250,1099.885696
851.0,276,1112.446164
268.0,168,1121.932836
-38.0,92,1137.837141
646.0,230,1160.747557
538.0,209,1174.248895
340.0,172,1182.702267
186.0,178,1190.686923
552.0,260,1207.433022
670.0,225,1224.757613
390.0,187,1233.372902
542.0,276,1262.952807
688.0,260,1277.875092
728.0,280,1294.418864
688.0,272,1318.833898
352.0,202,1328.354666
1659.0,292,1341.797412
520.0,222,1380.377584
606.0,248,1395.52077
923.0,298,1424.085083
470.0,232,1440.802078
430.0,220,1450.318516
490.0,225,1461.252504
462.0,210,1473.175587
1504.0,362,1526.930307
462.0,245,1541.891254
987.0,316,1562.109194
846.0,270,1574.449218
896.0,302,1588.437086
1540.0,360,1633.617362
800.0,275,1646.469515
204.0,182,1654.831714
692.0,294,1673.889746
268.0,178,1681.658479
164.0,134,1695.362456
570.0,210,1706.896813
398.0,212,1739.930278
878.0,280,1758.225343
704.0,258,1773.413052
570.0,244,1792.089436
891.0,280,1816.584988
280.0,198,1830.095438
520.0,246,1864.862768
891.0,330,1884.571583
962.0,308,1913.989882
933.0,258,1925.738876
394.0,210,1934.895177
380.0,208,1943.986529
452.0,210,1962.040736
366.0,230,1976.763438
34.0,124,1983.060559
841.0,290,2025.360098
610.0,245,2036.760676
462.0,222,2046.795376
128.0,149,2053.786933
824.0,264,2075.396802
682.0,256,2100.726867
592.0,227,2117.217894
732.0,246,2152.415668
-38.0,115,2158.111848
878.0,272,2171.034626
797.0,260,2182.76328
763.0,270,2208.33536
268.0,142,2214.899769
280.0,212,2226.950506
416.0,182,2257.205058
728.0,250,2272.482736
46.0,180,2282.755138
304.0,147,2299.034583
236.0,179,2307.014859
516.0,250,2324.004578
34.0,98,2328.625167
592.0,204,2339.610013
588.0,240,2369.491512
200.0,173,2379.872081
470.0,200,2400.361161
502.0,220,2410.483313
851.0,295,2429.142538
498.0,225,2439.12007
286.0,190,2447.832001
534.0,205,2458.849587
584.0,286,2504.543554
538.0,260,2520.693499
624.0,217,2530.720429
448.0,230,2546.972603
456.0,234,2557.552052
682.0,258,2588.159831
182.0,164,2618.264098
900.0,298,2639.000165
398.0,226,2651.457061
605.0,240,2671.32914
538.0,238,2690.056266
534.0,236,2699.747267
909.0,256,2718.20147
150.0,183,2728.428313
656.0,250,2743.850424
384.0,200,2755.683252
516.0,240,2784.966734
656.0,275,2797.498675
796.0,272,2809.764418
520.0,232,2828.057191
412.0,216,2841.083803
634.0,231,2865.500796
358.0,184,2884.816547
70.0,139,2891.437122
358.0,200,2901.005065
494.0,276,2913.976686
678.0,295,2932.488873
340.0,179,2953.505315
570.0,237,2970.005692
634.0,224,3004.508973
591.0,226,3019.813557
308.0,184,3030.131321
128.0,130,3036.020384
192.0,172,3043.802383
1019.0,305,3071.727825
254.0,205,3083.18067
218.0,158,3093.098621
466.0,231,3124.235887
394.0,195,3136.177346
272.0,147,3144.987217
304.0,186,3163.247206
-38.0,120,3173.99019
814.0,300,3186.850738
538.0,235,3197.808435
901.0,272,3221.718839
932.0,272,3249.189431
570.0,251,3263.094094
999.0,320,3284.171613
524.0,228,3294.827071
570.0,225,3306.659608
1050.0,275,3358.811436
182.0,192,3372.96105
164.0,160,3383.545515
978.0,252,3399.54543
426.0,230,3417.51146
268.0,180,3425.741072
168.0,152,3432.447532
322.0,240,3449.53134
340.0,139,3464.266883
696.0,266,3480.856547
868.0,300,3498.950938
-30.0,141,3521.793082
462.0,224,3534.04624
264.0,205,3552.478919
268.0,195,3561.330074
466.0,190,3576.989755
493.0,285,3594.711558
452.0,228,3609.167632
538.0,187,3646.999931
516.0,256,3659.385072
588.0,222,3669.800169
56.0,146,3676.788416
574.0,240,3692.93223
268.0,200,3701.951214
1022.0,302,3730.497105
655.0,250,3758.919634
624.0,230,3776.036628
430.0,196,3788.474699
402.0,214,3798.355584
538.0,204,3813.383991
272.0,212,3832.723627
951.0,358,3852.274478
692.0,255,3883.368222
502.0,234,3898.847865
1123.0,312,3913.075947
272.0,177,3933.960388
394.0,205,3943.172681
520.0,208,3952.989246
978.0,320,3983.991727
430.0,225,3998.893212
932.0,312,4025.696673
128.0,145,4038.179145
160.0,145,4044.686076
340.0,180,4052.829092
254.0,176,4060.849232
842.0,272,4094.749318
416.0,205,4119.142623
520.0,218,4133.582596
714.0,294,4162.907781
304.0,195,4171.712324
642.0,252,4182.82774
434.0,234,4192.774553
200.0,143,4214.143958
787.0,292,4230.360348
638.0,252,4245.511995
538.0,228,4271.584198
530.0,256,4282.95832
136.0,180,4290.887221
430.0,168,4307.704495
534.0,240,4326.488568
366.0,214,4338.981142
304.0,211,4352.929656
412.0,216,4379.578947
34.0,135,4385.780585
570.0,239,4404.230141
570.0,272,4416.137565
883.0,262,4435.80924
1196.0,328,4456.766086
682.0,252,4473.700046
218.0,211,4518.441962
760.0,282,4531.998749
647.0,274,4544.765376
692.0,250,4562.211987
394.0,238,4575.036964
520.0,254,4603.902165
448.0,230,4635.159223
100.0,160,4643.023775
114.0,164,4650.429281
660.0,260,4662.152538
656.0,325,4691.77515
290.0,176,4700.907008
416.0,230,4712.668469
732.0,248,4738.873861
814.0,300,4753.124774
340.0,156,4760.320024
552.0,280,4785.655783
462.0,229,4798.698847
196.0,188,4811.318175
452.0,215,4844.679916
624.0,250,4861.458415
182.0,192,4873.098608
995.0,322,4902.882557
800.0,292,4915.49429
628.0,225,4925.90402
484.0,236,4956.418787
498.0,245,4971.385611
272.0,200,4996.218175
340.0,218,5006.10472
646.0,250,5023.249406
232.0,167,5030.847923
290.0,168,5038.590413
1195.0,348,5081.358402
624.0,272,5098.373377
300.0,145,5107.151131
590.0,222,5118.742321
470.0,232,5137.753017
886.0,295,5151.041404
318.0,200,5172.062683
326.0,240,5205.712574
520.0,246,5222.76436
300.0,178,5234.188065
358.0,195,5247.74197
632.0,244,5272.383385
182.0,168,5288.43179
506.0,230,5298.855278
358.0,190,5327.837351
715.0,270,5345.887295
991.0,258,5361.85898
832.0,278,5401.920979
484.0,248,5413.176002
268.0,158,5420.270007
552.0,222,5429.946634
859.0,265,5447.112587
692.0,240,5459.229171
552.0,240,5487.382723
756.0,270,5521.274281
326.0,166,5528.790556
394.0,225,5538.613382
290.0,193,5552.377498
200.0,136,5559.042956
732.0,272,5589.784713
34.0,164,5599.546778
633.0,238,5631.029623
592.0,244,5647.260937
660.0,228,5658.005801
570.0,240,5682.492404
128.0,150,5689.105596
322.0,182,5697.35933
340.0,204,5706.735718
886.0,294,5740.053301
430.0,243,5755.844591
70.0,129,5764.219611
294.0,214,5783.638878
380.0,190,5797.667322
520.0,224,5807.811819
1177.0,286,5820.886107
991.0,326,5851.612803
164.0,131,5872.984246
466.0,190,5883.855335
896.0,330,5905.294204
718.0,220,5915.061867
692.0,275,5926.850394
764.0,285,5956.282318
200.0,152,5966.981477
552.0,250,5984.267699
565.0,270,6000.867287
633.0,266,6036.528721
763.0,256,6049.65851
412.0,240,6070.759762
915.0,274,6093.702517
574.0,245,6109.541671
200.0,168,6120.390119
200.0,142,6129.895673
398.0,165,6153.664629
466.0,203,6170.440495
200.0,164,6177.658844
430.0,214,6187.052506
534.0,230,6202.363403
538.0,189,6211.075189
470.0,245,6223.815277
388.0,182,6264.052938
160.0,152,6273.797583
728.0,268,6286.572538
1041.0,300,6305.436188
624.0,276,6318.39433
978.0,310,6350.14316
1013.0,320,6388.767409
1068.0,300,6408.349235
254.0,196,6418.364084
204.0,190,6435.973829
322.0,200,6452.684952
308.0,169,6460.14208
896.0,280,6473.332661
1091.0,322,6509.24594
466.0,216,6521.979704
340.0,224,6536.712406
506.0,226,6563.067436
578.0,212,6572.572037
488.0,238,6583.462852
322.0,220,6609.243032
965.0,306,6629.322392
164.0,166,6648.872381
751.0,316,6671.513545
556.0,222,6681.445988
290.0,181,6689.703331
172.0,142,6696.051532
656.0,230,6714.178401
896.0,294,6750.295443
92.0,174,6761.1902
1127.0,306,6801.089868
376.0,226,6816.149448
304.0,168,6823.715398
991.0,272,6835.764423
390.0,200,6856.695383
300.0,190,6867.461456
348.0,190,6878.219826
624.0,252,6911.979795
156.0,163,6922.367358
340.0,206,6935.881027
674.0,234,6954.617023
394.0,216,6969.734454
1163.0,342,6984.816875
322.0,182,6993.306653
128.0,119,6998.647131
1391.0,345,7047.189407
950.0,278,7062.584083
624.0,256,7080.465909
232.0,150,7087.337964
890.0,288,7100.615418
236.0,185,7110.878519
