#{"t_start": 1622266079.683, "env_id": "BZ-Tetris2-v0"}
r,l,t
380.0,185,9.936339
394.0,184,19.336524
574.0,235,29.67749
466.0,215,44.681691
304.0,232,54.825775
362.0,205,64.131483
570.0,240,83.359313
498.0,240,100.93936
530.0,224,110.746231
637.0,248,121.562485
859.0,270,138.577817
678.0,250,162.279884
781.0,265,174.3967
715.0,258,192.709621
362.0,192,201.033921
200.0,160,207.976046
548.0,240,234.641427
466.0,196,244.202656
488.0,206,253.875791
394.0,179,262.05708
696.0,282,281.278497
358.0,220,291.422551
682.0,260,310.679618
620.0,330,332.534039
520.0,214,342.330272
394.0,208,351.865536
818.0,240,371.653157
649.0,250,391.756794
574.0,208,401.322843
300.0,212,411.316381
606.0,308,434.598988
1037.0,295,451.986965
366.0,198,461.411019
832.0,302,487.523129
300.0,172,494.75609
398.0,228,504.894844
719.0,285,525.023131
426.0,230,537.258538
344.0,254,568.095266
264.0,195,583.900991
682.0,276,596.6577
664.0,222,606.825464
755.0,250,638.555999
1059.0,350,672.256364
286.0,230,689.600101
756.0,295,709.423945
560.0,220,719.668519
534.0,218,729.234823
610.0,270,759.00648
806.0,285,776.691429
741.0,290,793.145749
394.0,232,815.496129
502.0,270,827.963821
1218.0,330,850.172238
1172.0,290,875.213489
655.0,262,891.448798
624.0,266,919.0764
741.0,282,939.246175
426.0,245,950.700502
646.0,225,968.031919
196.0,157,977.199288
352.0,200,991.565651
322.0,160,1002.41576
390.0,224,1052.212691
755.0,276,1069.550757
960.0,268,1082.360313
304.0,170,1090.165095
470.0,238,1106.198607
692.0,294,1121.314024
480.0,205,1143.767223
592.0,213,1166.412358
728.0,235,1180.113681
592.0,230,1190.394321
941.0,264,1207.376837
845.0,335,1229.734697
240.0,225,1240.120305
678.0,285,1272.265262
182.0,212,1284.352448
150.0,143,1292.842324
466.0,194,1301.875306
362.0,174,1321.884171
484.0,210,1331.680012
390.0,183,1340.111791
304.0,212,1354.036272
398.0,226,1390.69455
384.0,200,1404.424668
196.0,170,1424.330176
1499.0,282,1443.291057
340.0,158,1450.019656
538.0,232,1461.247041
887.0,280,1476.902744
660.0,284,1526.287589
232.0,205,1539.603562
860.0,248,1551.182212
564.0,240,1567.687178
878.0,242,1578.941752
917.0,265,1591.408381
963.0,305,1633.791651
808.0,294,1647.53886
200.0,178,1655.695936
832.0,282,1674.199566
380.0,214,1683.564172
236.0,166,1698.801541
430.0,239,1731.976076
652.0,254,1749.680006
358.0,250,1765.963079
200.0,136,1773.057728
300.0,198,1789.517906
462.0,213,1809.485955
574.0,214,1823.131468
551.0,232,1856.92501
444.0,238,1872.549247
1036.0,300,1889.768013
196.0,160,1899.032978
664.0,286,1924.541144
470.0,225,1934.351983
883.0,296,1947.378304
534.0,250,1969.746767
236.0,141,1977.927653
764.0,260,2005.798645
669.0,246,2030.93037
466.0,204,2040.04217
520.0,216,2049.985031
498.0,234,2068.107042
656.0,280,2096.210527
322.0,191,2108.289498
440.0,250,2126.065695
340.0,195,2156.289713
466.0,209,2166.38628
160.0,152,2173.405185
714.0,250,2184.718837
150.0,184,2206.365895
502.0,226,2216.724865
358.0,162,2226.128598
1314.0,305,2263.999739
168.0,175,2274.623338
570.0,207,2285.858933
444.0,222,2305.248575
132.0,162,2318.106809
430.0,194,2326.919441
452.0,196,2337.086321
773.0,274,2369.085076
300.0,168,2379.172935
120.0,160,2397.982635
402.0,208,2407.521471
394.0,200,2416.756046
466.0,198,2430.826987
150.0,164,2438.221725
218.0,172,2445.87044
878.0,260,2459.920618
430.0,210,2499.973393
354.0,214,2515.406832
782.0,288,2529.145455
946.0,308,2548.991118
92.0,150,2555.810441
448.0,210,2581.9589
864.0,234,2616.71334
520.0,188,2630.456382
322.0,187,2641.613304
502.0,195,2652.960719
394.0,220,2671.700032
394.0,171,2687.456077
160.0,168,2694.640596
502.0,224,2704.106052
732.0,250,2722.681038
498.0,245,2738.301537
196.0,173,2748.268497
831.0,270,2780.902041
1123.0,315,2795.028875
556.0,208,2804.437724
629.0,260,2823.683384
520.0,246,2837.2659
214.0,190,2859.806907
895.0,244,2874.499112
692.0,238,2894.325685
218.0,160,2901.895007
874.0,276,2914.840333
322.0,220,2929.926461
832.0,252,2954.516723
218.0,200,2968.665585
434.0,242,3004.217605
160.0,198,3017.74616
164.0,144,3026.21079
398.0,204,3036.172854
250.0,180,3044.27913
340.0,176,3066.300713
1241.0,338,3084.148168
624.0,250,3099.300578
390.0,248,3132.280863
941.0,285,3157.746236
1296.0,310,3177.124029
290.0,233,3187.025537
498.0,195,3196.15387
42.0,152,3203.295259
950.0,308,3231.545345
236.0,146,3250.750225
1464.0,295,3266.399504
182.0,166,3280.165938
218.0,178,3288.431712
841.0,270,3301.165355
584.0,284,3319.631439
692.0,232,3369.591818
124.0,140,3380.054466
624.0,278,3397.790539
448.0,220,3415.543327
823.0,325,3430.318656
232.0,158,3443.594841
678.0,308,3466.556144
765.0,275,3483.442813
674.0,235,3497.62799
878.0,344,3532.099809
996.0,270,3553.594409
832.0,252,3564.999821
534.0,221,3583.848708
642.0,284,3601.495106
498.0,235,3616.550066
254.0,188,3652.87478
570.0,262,3665.241307
751.0,280,3678.57043
190.0,185,3692.076074
946.0,294,3705.552132
430.0,223,3730.152642
633.0,256,3758.984707
398.0,230,3776.149094
286.0,195,3788.558635
1188.0,292,3807.745556
787.0,260,3828.922459
814.0,282,3842.336982
412.0,200,3871.31163
232.0,195,3882.43372
692.0,258,3899.512676
1104.0,290,3912.588
318.0,236,3936.215855
430.0,185,3944.582355
268.0,166,3952.353146
850.0,285,3980.928648
326.0,190,3993.403552
394.0,200,4006.542334
430.0,179,4024.921043
466.0,224,4041.054393
646.0,228,4051.293412
272.0,212,4060.9334
204.0,185,4071.040701
340.0,196,4101.35982
326.0,177,4125.105495
815.0,325,4146.273352
1160.0,342,4173.617561
646.0,235,4183.961656
340.0,172,4191.458038
578.0,216,4215.740371
858.0,274,4231.548637
304.0,178,4242.783536
340.0,199,4254.222313
394.0,244,4278.638553
520.0,232,4289.068629
390.0,206,4307.412462
150.0,126,4320.55927
688.0,236,4332.844855
6.0,142,4341.754987
196.0,157,4352.204788
412.0,196,4362.592891
600.0,235,4388.973117
196.0,215,4406.46423
552.0,248,4417.123834
705.0,270,4437.12228
114.0,162,4446.968845
250.0,180,4459.60894
760.0,270,4508.525561
88.0,164,4519.138874
660.0,288,4532.996358
398.0,176,4541.224865
986.0,296,4560.730336
1195.0,288,4576.017141
632.0,240,4604.132253
304.0,176,4632.565042
290.0,152,4640.505702
728.0,264,4652.365414
506.0,206,4661.649942
438.0,190,4675.630566
200.0,180,4693.380163
200.0,153,4701.411527
534.0,238,4713.570747
878.0,266,4741.172243
996.0,310,4755.229062
498.0,234,4778.197778
426.0,212,4788.257601
534.0,210,4801.078603
502.0,250,4817.732476
842.0,314,4858.198536
308.0,200,4871.129721
312.0,200,4889.391334
412.0,210,4904.855811
614.0,250,4915.627392
806.0,274,4928.312675
502.0,214,4958.350775
272.0,173,4968.790654
688.0,272,4997.645689
-2.0,129,5003.382696
588.0,230,5019.681515
110.0,168,5027.329184
192.0,172,5035.180899
330.0,246,5046.529198
164.0,155,5079.755125
232.0,185,5091.421942
430.0,267,5107.991061
340.0,168,5116.803017
564.0,250,5136.777765
308.0,210,5146.307652
1041.0,288,5171.198746
534.0,215,5202.424046
646.0,220,5218.239757
886.0,256,5234.631583
905.0,300,5265.956192
128.0,154,5273.478023
823.0,260,5293.57566
502.0,230,5305.505353
340.0,189,5335.39734
254.0,172,5346.77882
896.0,275,5363.593517
344.0,208,5400.191944
832.0,295,5413.635266
1169.0,292,5426.760882
1068.0,332,5446.578226
164.0,147,5453.368969
290.0,224,5480.372405
660.0,230,5511.835052
879.0,258,5525.728762
601.0,222,5535.434396
986.0,318,5554.837184
601.0,250,5582.957028
466.0,220,5595.963364
164.0,162,5607.300212
452.0,234,5638.014632
534.0,227,5651.745122
160.0,172,5659.719122
1360.0,250,5684.526851
691.0,244,5695.354715
186.0,135,5701.958527
723.0,230,5713.589929
796.0,268,5746.021525
114.0,180,5757.826891
362.0,199,5778.49695
312.0,190,5787.014902
660.0,250,5803.964265
506.0,235,5814.718073
304.0,171,5822.445898
860.0,290,5851.442531
204.0,176,5875.431739
308.0,265,5889.831697
592.0,216,5905.450675
810.0,268,5917.454885
344.0,210,5926.12695
705.0,266,5938.008031
520.0,216,5968.989914
340.0,160,5980.135885
340.0,170,5991.36418
538.0,284,6028.822733
56.0,124,6035.741907
196.0,141,6042.878174
1278.0,342,6069.383694
584.0,256,6090.346515
222.0,155,6100.700881
304.0,178,6112.116149
846.0,268,6129.63863
610.0,284,6166.484573
764.0,280,6179.050794
738.0,254,6195.24152
764.0,295,6208.621002
498.0,227,6219.451953
434.0,207,6232.235421
34.0,156,6270.547867
796.0,265,6284.555983
881.0,288,6297.269998
232.0,158,6310.311246
624.0,262,6322.876205
986.0,265,6352.842847
448.0,212,6384.41317
498.0,284,6402.568855
804.0,272,6417.972527
1355.0,324,6441.878991
1233.0,355,6465.368611
556.0,265,6495.395537
358.0,176,6505.729304
678.0,282,6523.158868
696.0,215,6537.195922
232.0,195,6562.21333
860.0,296,6575.312849
358.0,215,6585.380929
538.0,174,6608.705593
502.0,193,6621.593513
236.0,162,6632.058951
1450.0,324,6659.052568
150.0,144,6672.656413
340.0,183,6680.889444
570.0,235,6691.698703
940.0,318,6713.671213
308.0,180,6724.41488
502.0,264,6759.153108
520.0,224,6773.945729
186.0,168,6804.458659
728.0,295,6821.356944
394.0,224,6831.512822
538.0,198,6852.332929
196.0,142,6859.000511
573.0,260,6874.339567
1300.0,364,6914.36145
430.0,250,6930.400894
787.0,284,6953.22478
498.0,241,6969.421253
-2.0,112,6974.228115
344.0,210,6983.519629
588.0,277,6996.259966
56.0,164,7021.433563
380.0,210,7045.779123
254.0,176,7056.004437
534.0,218,7066.679477
624.0,201,7082.262902
1305.0,308,7096.333448
696.0,258,7109.555697
813.0,275,7160.383332
709.0,260,7178.386858
190.0,155,7188.988006
690.0,260,7218.764344
1458.0,362,7235.070299
941.0,290,7255.538301
1082.0,266,7276.574748
200.0,125,7283.905021
682.0,268,7299.640581
502.0,246,7334.481374
394.0,194,7351.510567
800.0,285,7364.178164
300.0,198,7380.377071
719.0,278,7395.127887
498.0,226,7408.893586
290.0,199,7421.607915
556.0,310,7462.319563
828.0,260,7474.465479
182.0,145,7481.133131
905.0,252,7498.254397
732.0,266,7511.764211
864.0,265,7541.256026
322.0,155,7571.660758
430.0,218,7586.452683
768.0,242,7602.990497
362.0,198,7613.311358
92.0,155,7627.604995
466.0,215,7645.603395
200.0,157,7652.656876
1291.0,304,7685.631271
696.0,264,7702.829069
294.0,206,7715.315157
204.0,185,7726.929903
895.0,255,7752.113783
-38.0,103,7756.776922
1305.0,345,7772.154208
1041.0,316,7803.42379
