#{"t_start": 1622266080.3937225, "env_id": "BZ-Tetris2-v0"}
r,l,t
366.0,218,10.753685
394.0,209,21.096057
430.0,225,31.09285
394.0,176,44.401777
728.0,256,55.596523
-2.0,115,60.805676
376.0,206,78.80056
394.0,178,93.513355
124.0,150,100.077961
358.0,220,109.714335
1208.0,305,123.053173
1446.0,352,156.422206
969.0,272,168.623717
430.0,188,177.248977
362.0,199,192.817825
1058.0,302,205.880762
452.0,230,216.349217
366.0,204,241.701339
390.0,240,253.15405
466.0,193,262.052845
516.0,246,279.430233
304.0,163,287.030862
538.0,264,299.224621
628.0,232,317.10794
498.0,217,333.904537
448.0,226,344.151244
204.0,159,351.506063
1223.0,314,374.560315
741.0,284,396.306828
340.0,200,405.499393
434.0,235,423.986145
430.0,182,434.080459
380.0,215,446.282703
587.0,274,460.710221
70.0,150,480.040908
538.0,245,490.885859
394.0,179,498.492229
300.0,216,508.24844
264.0,183,523.628564
506.0,240,536.366271
861.0,245,566.705542
1023.0,308,587.919871
515.0,274,600.292699
692.0,278,613.90237
416.0,210,645.440189
304.0,187,667.758235
466.0,220,684.368905
805.0,275,705.164692
218.0,160,712.346675
240.0,164,720.061779
434.0,200,728.820319
128.0,136,734.740731
610.0,265,766.317169
570.0,236,782.069954
340.0,173,791.193737
570.0,266,815.091784
292.0,182,823.378387
240.0,180,838.760977
466.0,241,857.000735
506.0,220,871.109537
340.0,200,883.185795
610.0,250,897.55643
1013.0,326,927.0146
918.0,278,947.456788
340.0,219,956.967062
696.0,265,979.335616
448.0,238,995.885666
634.0,230,1010.640062
610.0,250,1063.808332
290.0,212,1074.306135
236.0,142,1080.923261
366.0,240,1097.35668
714.0,262,1109.105447
304.0,173,1117.937329
1387.0,334,1157.667914
92.0,154,1167.491687
416.0,224,1180.125246
362.0,240,1190.960172
668.0,228,1206.254738
412.0,230,1223.795901
268.0,184,1232.166987
610.0,210,1242.533909
741.0,294,1275.148187
673.0,266,1291.022686
534.0,220,1301.171935
1008.0,276,1326.057065
864.0,262,1338.131474
959.0,318,1381.394614
615.0,254,1397.466301
756.0,270,1423.882354
1150.0,300,1443.634036
462.0,230,1453.790266
570.0,235,1465.985083
340.0,209,1494.735871
656.0,230,1508.849709
272.0,194,1536.43437
150.0,158,1544.662912
182.0,166,1552.306609
556.0,208,1567.242123
682.0,224,1577.690379
728.0,254,1589.313344
570.0,208,1626.53237
232.0,200,1636.717266
358.0,218,1647.012023
1191.0,325,1667.824559
498.0,210,1676.88772
769.0,268,1696.566801
56.0,140,1704.09801
462.0,204,1736.38382
290.0,198,1749.885833
732.0,258,1766.845084
502.0,275,1787.187588
286.0,175,1805.378226
344.0,214,1817.435949
340.0,170,1828.840922
196.0,220,1862.374598
556.0,242,1876.471213
502.0,172,1886.472011
300.0,194,1898.083452
502.0,206,1919.832522
683.0,262,1931.510046
426.0,210,1940.454353
660.0,248,1959.811835
1083.0,314,1979.193735
1369.0,418,2027.699095
462.0,217,2037.65509
462.0,230,2048.104046
326.0,195,2057.166158
268.0,165,2074.027071
914.0,298,2102.40986
444.0,220,2117.864781
570.0,243,2152.955455
376.0,260,2165.577866
340.0,168,2173.388592
488.0,240,2197.597453
470.0,250,2208.842425
276.0,194,2217.858583
624.0,246,2233.726432
534.0,209,2265.155358
502.0,258,2280.428916
896.0,325,2304.772045
466.0,179,2318.411458
316.0,165,2325.918149
724.0,270,2340.63956
534.0,230,2369.79485
1054.0,294,2396.815096
290.0,192,2405.459498
904.0,280,2423.87561
394.0,205,2432.654941
896.0,236,2443.30483
823.0,268,2457.138203
777.0,254,2500.095172
276.0,179,2513.133488
659.0,286,2527.293468
222.0,174,2541.293035
434.0,196,2549.928427
506.0,205,2559.644469
443.0,240,2589.72517
-2.0,114,2616.202475
842.0,270,2635.534397
588.0,232,2648.091276
606.0,250,2669.38237
530.0,220,2687.348685
380.0,200,2695.702102
763.0,250,2706.630652
304.0,172,2721.501142
376.0,244,2737.030534
358.0,196,2748.80274
254.0,176,2759.106006
570.0,226,2786.699569
484.0,224,2796.882734
818.0,280,2809.499317
326.0,184,2825.346482
1627.0,305,2843.201954
236.0,164,2863.805473
124.0,183,2883.18492
394.0,219,2893.894533
764.0,250,2905.755304
1032.0,290,2924.609667
426.0,232,2934.871867
728.0,236,2961.227865
498.0,190,2974.309376
652.0,268,3012.125237
408.0,226,3025.856918
682.0,240,3037.323272
498.0,270,3063.588174
218.0,160,3070.859602
1159.0,330,3090.066812
1250.0,250,3122.450049
122.0,176,3133.457926
322.0,195,3144.860054
1137.0,346,3175.567061
588.0,216,3184.781221
1092.0,285,3197.899797
592.0,244,3220.138897
304.0,201,3232.739803
538.0,254,3258.564021
70.0,136,3265.105948
416.0,240,3282.423099
696.0,246,3293.93292
268.0,160,3301.339201
498.0,189,3313.786264
218.0,168,3359.002832
710.0,248,3376.927102
268.0,192,3389.529097
1109.0,302,3413.166991
358.0,199,3422.293673
552.0,295,3441.820919
322.0,215,3458.561311
588.0,230,3472.681986
426.0,252,3488.043103
340.0,198,3500.434116
232.0,182,3525.963159
1042.0,336,3550.933225
732.0,265,3562.849452
466.0,215,3580.740574
718.0,235,3595.515978
394.0,186,3607.276797
268.0,209,3646.599059
272.0,158,3654.242328
376.0,186,3663.136291
92.0,118,3668.578903
304.0,198,3678.111439
462.0,220,3693.248056
624.0,250,3704.642713
236.0,154,3723.826043
502.0,203,3739.068772
520.0,250,3767.451544
584.0,272,3786.492192
895.0,288,3799.650834
565.0,266,3826.925471
728.0,260,3839.148261
182.0,172,3849.800094
951.0,336,3886.141462
-2.0,105,3892.842558
498.0,245,3905.997901
588.0,242,3930.027867
-16.0,110,3934.706549
1709.0,296,3948.2414
761.0,298,3976.185211
624.0,246,3992.401884
272.0,156,4002.509477
498.0,227,4024.209875
494.0,234,4040.801292
814.0,286,4053.607272
128.0,180,4061.854131
300.0,198,4091.709089
606.0,228,4106.100452
660.0,242,4133.516053
438.0,244,4149.714174
664.0,216,4170.208729
430.0,222,4180.053786
1170.0,268,4191.507106
664.0,238,4216.99354
1605.0,325,4237.023814
416.0,214,4248.907551
859.0,286,4276.777451
458.0,232,4287.202404
949.0,272,4308.510902
380.0,228,4326.728009
358.0,219,4339.841216
969.0,295,4357.913576
434.0,206,4383.573079
715.0,270,4403.417445
538.0,248,4414.293212
164.0,131,4420.164798
596.0,234,4438.878534
488.0,202,4452.382239
823.0,252,4469.637923
628.0,261,4517.732602
182.0,160,4525.381106
1009.0,318,4540.466013
786.0,288,4559.573733
1022.0,295,4575.193578
1051.0,270,4605.434321
570.0,240,4636.716002
650.0,230,4647.319215
1168.0,335,4668.079296
764.0,258,4688.802021
344.0,215,4699.91282
1215.0,295,4726.183589
946.0,245,4741.452317
502.0,220,4751.484475
565.0,234,4762.15741
970.0,366,4791.724824
304.0,195,4805.114427
128.0,169,4816.511225
322.0,214,4849.468998
92.0,145,4859.236387
430.0,212,4872.516759
70.0,118,4887.014677
592.0,222,4903.08141
452.0,230,4913.149317
1605.0,260,4924.985328
624.0,246,4955.843178
466.0,220,4969.571814
358.0,210,4994.99264
832.0,294,5008.355363
294.0,187,5022.627219
596.0,254,5034.242683
452.0,208,5043.833636
534.0,210,5079.94435
160.0,185,5091.31247
728.0,280,5108.759875
196.0,216,5119.583659
646.0,230,5138.452455
570.0,225,5148.607452
696.0,235,5171.159414
164.0,154,5198.527234
466.0,204,5213.16878
280.0,220,5227.221775
412.0,234,5243.885357
1269.0,330,5281.476298
660.0,250,5292.963464
304.0,182,5302.297541
322.0,206,5332.792367
783.0,282,5351.597463
358.0,218,5364.580751
683.0,238,5401.995973
394.0,227,5412.289386
430.0,216,5422.048327
222.0,158,5428.794884
570.0,233,5444.389979
782.0,282,5458.408315
800.0,252,5487.213264
340.0,184,5516.243453
222.0,161,5524.551227
787.0,334,5539.166357
650.0,272,5556.718448
638.0,228,5584.512416
458.0,215,5597.199393
520.0,236,5628.798957
696.0,272,5646.831604
570.0,220,5657.201454
1613.0,370,5687.414043
228.0,206,5696.745744
610.0,300,5711.481467
412.0,246,5742.546606
936.0,272,5760.444119
362.0,221,5781.06758
850.0,280,5799.0043
160.0,156,5806.193057
470.0,222,5816.299032
466.0,185,5824.875603
308.0,200,5849.21493
272.0,133,5856.894117
200.0,138,5879.039866
498.0,200,5889.42989
851.0,285,5908.256091
1132.0,328,5922.477827
200.0,156,5929.201042
232.0,202,5954.615134
624.0,228,5970.361449
430.0,192,5983.668452
560.0,222,5996.993091
588.0,227,6031.974143
646.0,244,6044.134218
718.0,238,6065.5117
114.0,168,6073.396501
340.0,176,6090.970856
1060.0,302,6110.624643
732.0,253,6127.327644
502.0,225,6154.3805
692.0,285,6174.620213
236.0,154,6181.671797
1047.0,304,6199.968088
815.0,308,6214.196628
764.0,245,6228.01187
1049.0,320,6276.97893
800.0,270,6289.144314
660.0,240,6305.251287
254.0,209,6315.04722
538.0,250,6328.04115
340.0,165,6352.643717
430.0,200,6383.404839
736.0,270,6400.635771
340.0,191,6412.332793
888.0,298,6435.363642
430.0,206,6452.364996
598.0,193,6460.845641
714.0,286,6474.632198
340.0,185,6502.137539
583.0,240,6516.380575
538.0,196,6528.911874
728.0,244,6558.719052
78.0,166,6565.874785
637.0,254,6577.402804
444.0,235,6588.43783
462.0,198,6614.847594
972.0,270,6632.813633
891.0,280,6657.369478
502.0,180,6672.480883
660.0,240,6683.332272
941.0,290,6696.407621
304.0,187,6712.654082
542.0,248,6745.072435
1514.0,365,6769.122772
534.0,217,6802.845714
160.0,149,6813.700171
1031.0,312,6827.626545
898.0,270,6851.674757
358.0,229,6863.176151
664.0,241,6877.163209
796.0,268,6911.775032
873.0,285,6930.254324
268.0,163,6939.628354
466.0,202,6956.260758
222.0,153,6968.770811
2014.0,344,6983.856159
565.0,220,6994.069451
290.0,176,7019.331563
805.0,254,7046.382113
380.0,215,7058.949932
646.0,254,7076.717634
534.0,205,7086.171173
1760.0,250,7097.546525
416.0,230,7109.948736
358.0,176,7154.257256
678.0,290,7174.310136
669.0,224,7188.996252
692.0,276,7219.627481
954.0,308,7233.202212
268.0,202,7249.487321
732.0,272,7270.490699
778.0,248,7284.101359
466.0,200,7296.135115
570.0,230,7329.048639
200.0,144,7338.443186
430.0,215,7355.159515
797.0,274,7367.296376
200.0,151,7381.517777
814.0,278,7396.721857
570.0,236,7411.334392
718.0,245,7451.222893
380.0,212,7461.542623
886.0,324,7476.738145
484.0,226,7492.690596
380.0,180,7501.035412
498.0,210,7511.9694
298.0,180,7535.784554
340.0,186,7568.268161
996.0,240,7584.995303
534.0,216,7599.322911
1696.0,310,7622.747307
588.0,256,7642.932386
764.0,254,7654.470349
715.0,266,7685.874891
416.0,184,7698.172188
818.0,264,7714.09395
741.0,304,7745.031612
534.0,268,7756.995305
164.0,165,7764.065175
628.0,237,7775.399187
732.0,250,7803.607883
587.0,245,7817.876569
692.0,242,7843.832555
448.0,202,7864.850839
362.0,203,7874.321554
1135.0,336,7890.366267
304.0,150,7923.122959
398.0,174,7934.586801
254.0,194,7959.929724
660.0,244,7978.077454
660.0,260,8012.870205
268.0,213,8023.081464
1218.0,262,8035.248168
430.0,190,8058.306373
20.0,123,8064.054589
150.0,162,8073.098397
304.0,149,8082.722746
434.0,220,8097.438775
796.0,286,8135.711355
806.0,262,8149.437557
656.0,234,8168.568178
570.0,241,8186.771187
186.0,154,8196.171121
968.0,165,8206.733198
574.0,250,8222.678801
232.0,158,8247.577296
760.0,252,8272.777058
488.0,218,8282.897116
430.0,182,8297.097903
552.0,264,8308.642318
340.0,234,8321.067653
416.0,198,8336.62831
268.0,206,8388.644632
570.0,240,8404.96188
484.0,254,8420.83328
768.0,268,8447.722459
394.0,200,8457.260542
877.0,278,8476.604326
304.0,160,8498.967227
932.0,272,8516.515708
859.0,246,8532.368328
548.0,250,8556.577805
172.0,182,8564.99692
696.0,243,8585.438555
647.0,300,8598.732991
1227.0,314,8626.373478
348.0,186,8638.757548
268.0,162,8650.181441
1073.0,334,8703.707475
